Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Sebastian County, Arkansas",127591,25961,23271,18.24%,Sebastian County,Arkansas
"Sevier County, Arkansas",17081,22320,3590,21.02%,Sevier County,Arkansas
"Sharp County, Arkansas",17139,21423,3743,21.84%,Sharp County,Arkansas
"Stone County, Arkansas",12475,20695,2449,19.63%,Stone County,Arkansas
"Union County, Arkansas",39449,25193,7444,18.87%,Union County,Arkansas
"Van Buren County, Arkansas",16642,22168,3041,18.27%,Van Buren County,Arkansas
"Washington County, Arkansas",232289,27790,36730,15.81%,Washington County,Arkansas
"White County, Arkansas",78762,23702,11742,14.91%,White County,Arkansas
"Woodruff County, Arkansas",6533,23423,1596,24.43%,Woodruff County,Arkansas
"Yell County, Arkansas",21464,22015,3523,16.41%,Yell County,Arkansas
"Alameda County, California",1656754,47314,161581,9.75%,Alameda County,California
"Alpine County, California",1039,36739,205,19.73%,Alpine County,California
"Amador County, California",38429,31987,3451,8.98%,Amador County,California
"Butte County, California",225817,29506,41974,18.59%,Butte County,California
"Calaveras County, California",45514,33456,5147,11.31%,Calaveras County,California
"Colusa County, California",21454,26932,2774,12.93%,Colusa County,California
"Contra Costa County, California",1142251,48178,98595,8.63%,Contra Costa County,California
"Del Norte County, California",27495,23674,4760,17.31%,Del Norte County,California
"El Dorado County, California",188563,42749,15643,8.3%,El Dorado County,California
"Fresno County, California",984521,24422,218254,22.17%,Fresno County,California
"Glenn County, California",27976,22668,4818,17.22%,Glenn County,California
"Humboldt County, California",135940,28769,26674,19.62%,Humboldt County,California
"Imperial County, California",180701,18018,41100,22.74%,Imperial County,California
"Inyo County, California",17977,32590,1635,9.09%,Inyo County,California
"Kern County, California",887641,23326,179980,20.28%,Kern County,California
"Kings County, California",150691,22373,24725,16.41%,Kings County,California
"Lake County, California",64195,27362,11753,18.31%,Lake County,California
"Lassen County, California",30818,22134,2830,9.18%,Lassen County,California
"Los Angeles County, California",10081570,34156,1480446,14.68%,Los Angeles County,California
"Madera County, California",155433,22853,29273,18.83%,Madera County,California
"Marin County, California",259943,72466,18349,7.06%,Marin County,California
"Mariposa County, California",17420,28757,2616,15.02%,Mariposa County,California
"Mendocino County, California",87224,29035,15251,17.48%,Mendocino County,California
"Merced County, California",271382,23011,56217,20.72%,Merced County,California
"Modoc County, California",8907,22843,1618,18.17%,Modoc County,California
"Mono County, California",14310,34552,1713,11.97%,Mono County,California
"Monterey County, California",433410,30073,54393,12.55%,Monterey County,California
"Napa County, California",139623,45195,10614,7.6%,Napa County,California
"Nevada County, California",99244,39233,10844,10.93%,Nevada County,California
"Orange County, California",3168044,41514,340048,10.73%,Orange County,California
"Placer County, California",385512,43759,29588,7.67%,Placer County,California
"Plumas County, California",18660,35198,2224,11.92%,Plumas County,California
"Riverside County, California",2411439,28596,325279,13.49%,Riverside County,California
"Sacramento County, California",1524553,32751,220713,14.48%,Sacramento County,California
"San Benito County, California",60376,33174,5061,8.38%,San Benito County,California
"San Bernardino County, California",2149031,25215,333613,15.52%,San Bernardino County,California
"San Diego County, California",3316073,38073,374787,11.3%,San Diego County,California
"San Francisco County, California",874961,68883,89030,10.18%,San Francisco County,California
"San Joaquin County, California",742603,27521,105461,14.2%,San Joaquin County,California
"San Luis Obispo County, California",282165,37233,33261,11.79%,San Luis Obispo County,California
"San Mateo County, California",767423,61545,51085,6.66%,San Mateo County,California
"Santa Barbara County, California",444829,36039,57556,12.94%,Santa Barbara County,California
"Santa Clara County, California",1927470,56248,142534,7.39%,Santa Clara County,California
"Santa Cruz County, California",273962,41312,34419,12.56%,Santa Cruz County,California
"Shasta County, California",179212,29720,29423,16.42%,Shasta County,California
"Sierra County, California",3040,33747,291,9.57%,Sierra County,California
"Siskiyou County, California",43468,28615,8102,18.64%,Siskiyou County,California
"Solano County, California",441829,35400,41121,9.31%,Solano County,California
"Sonoma County, California",499772,42178,45418,9.09%,Sonoma County,California
"Stanislaus County, California",543194,26258,81415,14.99%,Stanislaus County,California
"Sutter County, California",96109,27371,14687,15.28%,Sutter County,California
"Tehama County, California",63912,24301,13930,21.8%,Tehama County,California
"Trinity County, California",12700,26523,2372,18.68%,Trinity County,California
"Tulare County, California",461898,21380,108512,23.49%,Tulare County,California
"Tuolumne County, California",54045,34702,6443,11.92%,Tuolumne County,California
"Ventura County, California",847263,38595,74645,8.81%,Ventura County,California
"Yolo County, California",217352,34515,39919,18.37%,Yolo County,California
"Yuba County, California",76360,25583,11572,15.15%,Yuba County,California
"Adams County, Colorado",504108,30313,54159,10.74%,Adams County,Colorado
"Alamosa County, Colorado",16107,22131,3528,21.9%,Alamosa County,Colorado
"Arapahoe County, Colorado",644560,40443,51542,8.0%,Arapahoe County,Colorado
"Archuleta County, Colorado",13253,31629,1153,8.7%,Archuleta County,Colorado
"Baca County, Colorado",3561,24061,654,18.37%,Baca County,Colorado
"Bent County, Colorado",5787,13930,1177,20.34%,Bent County,Colorado
"Boulder County, Colorado",322510,46826,36358,11.27%,Boulder County,Colorado
"Broomfield County, Colorado",67886,50863,3763,5.54%,Broomfield County,Colorado
"Chaffee County, Colorado",19557,29827,1776,9.08%,Chaffee County,Colorado
"Cheyenne County, Colorado",2026,29081,203,10.02%,Cheyenne County,Colorado
"Clear Creek County, Colorado",9495,39203,725,7.64%,Clear Creek County,Colorado
"Conejos County, Colorado",8128,20640,1756,21.6%,Conejos County,Colorado
"Costilla County, Colorado",3745,21732,1023,27.32%,Costilla County,Colorado
"Crowley County, Colorado",5754,15517,1339,23.27%,Crowley County,Colorado
"Custer County, Colorado",4776,29258,601,12.58%,Custer County,Colorado
"Delta County, Colorado",30565,26499,5379,17.6%,Delta County,Colorado
"Denver County, Colorado",705576,43770,89203,12.64%,Denver County,Colorado
"Dolores County, Colorado",1857,26323,246,13.25%,Dolores County,Colorado
"Douglas County, Colorado",336041,53313,10275,3.06%,Douglas County,Colorado
"Eagle County, Colorado",54681,44391,4354,7.96%,Eagle County,Colorado
"Elbert County, Colorado",25717,44690,1230,4.78%,Elbert County,Colorado
"El Paso County, Colorado",698974,33728,68548,9.81%,El Paso County,Colorado
"Fremont County, Colorado",47321,22692,5226,11.04%,Fremont County,Colorado
"Garfield County, Colorado",59055,33393,5009,8.48%,Garfield County,Colorado
"Gilpin County, Colorado",6018,49641,286,4.75%,Gilpin County,Colorado
"Grand County, Colorado",15303,37876,1440,9.41%,Grand County,Colorado
"Gunnison County, Colorado",16802,32191,2154,12.82%,Gunnison County,Colorado
"Hinsdale County, Colorado",857,33570,84,9.8%,Hinsdale County,Colorado
"Huerfano County, Colorado",6679,25140,1030,15.42%,Huerfano County,Colorado
"Jackson County, Colorado",1261,28199,121,9.6%,Jackson County,Colorado
"Jefferson County, Colorado",574798,44119,40118,6.98%,Jefferson County,Colorado
"Kiowa County, Colorado",1489,25937,177,11.89%,Kiowa County,Colorado
"Kit Carson County, Colorado",7447,27797,421,5.65%,Kit Carson County,Colorado
"Lake County, Colorado",7751,29122,1110,14.32%,Lake County,Colorado
"La Plata County, Colorado",55617,39493,4919,8.84%,La Plata County,Colorado
"Larimer County, Colorado",344786,37363,38822,11.26%,Larimer County,Colorado
"Las Animas County, Colorado",14266,25813,2474,17.34%,Las Animas County,Colorado
"Lincoln County, Colorado",5585,16753,515,9.22%,Lincoln County,Colorado
"Logan County, Colorado",22380,26727,2701,12.07%,Logan County,Colorado
"Mesa County, Colorado",151218,29596,21032,13.91%,Mesa County,Colorado
"Mineral County, Colorado",824,33955,113,13.71%,Mineral County,Colorado
"Moffat County, Colorado",13127,29100,2206,16.81%,Moffat County,Colorado
"Montezuma County, Colorado",26031,26072,3902,14.99%,Montezuma County,Colorado
"Montrose County, Colorado",41686,28078,6226,14.94%,Montrose County,Colorado
"Morgan County, Colorado",28517,25064,3078,10.79%,Morgan County,Colorado
"Otero County, Colorado",18282,21110,4226,23.12%,Otero County,Colorado
"Ouray County, Colorado",4796,41160,344,7.17%,Ouray County,Colorado
"Park County, Colorado",17867,36500,1293,7.24%,Park County,Colorado
"Phillips County, Colorado",4290,26494,256,5.97%,Phillips County,Colorado
"Pitkin County, Colorado",17926,54875,1200,6.69%,Pitkin County,Colorado
"Prowers County, Colorado",12022,23698,1866,15.52%,Prowers County,Colorado
"Pueblo County, Colorado",165982,25051,30591,18.43%,Pueblo County,Colorado
"Rio Blanco County, Colorado",6384,26487,637,9.98%,Rio Blanco County,Colorado
"Rio Grande County, Colorado",11305,24582,1894,16.75%,Rio Grande County,Colorado
"Routt County, Colorado",25072,43769,2705,10.79%,Routt County,Colorado
"Saguache County, Colorado",6592,22511,1152,17.48%,Saguache County,Colorado
"San Juan County, Colorado",589,34502,31,5.26%,San Juan County,Colorado
"San Miguel County, Colorado",8049,47526,909,11.29%,San Miguel County,Colorado
"Sedgwick County, Colorado",2322,27527,434,18.69%,Sedgwick County,Colorado
"Summit County, Colorado",30649,41281,2437,7.95%,Summit County,Colorado
"Teller County, Colorado",24524,35703,1984,8.09%,Teller County,Colorado
"Washington County, Colorado",4868,27860,535,10.99%,Washington County,Colorado
"Weld County, Colorado",305345,31793,29866,9.78%,Weld County,Colorado
"Yuma County, Colorado",10003,27955,1357,13.57%,Yuma County,Colorado
"Fairfield County, Connecticut",943926,57263,82327,8.72%,Fairfield County,Connecticut
"Hartford County, Connecticut",893561,40540,94192,10.54%,Hartford County,Connecticut
"Litchfield County, Connecticut",182002,44480,12416,6.82%,Litchfield County,Connecticut
"Middlesex County, Connecticut",163053,46023,10944,6.71%,Middlesex County,Connecticut
"New Haven County, Connecticut",857513,38009,97553,11.38%,New Haven County,Connecticut
"New London County, Connecticut",267390,39426,24040,8.99%,New London County,Connecticut
"Tolland County, Connecticut",151063,41371,9996,6.62%,Tolland County,Connecticut
"Windham County, Connecticut",116566,32732,12678,10.88%,Windham County,Connecticut
"Kent County, Delaware",176699,28845,23134,13.09%,Kent County,Delaware
"New Castle County, Delaware",556165,37532,61333,11.03%,New Castle County,Delaware
"Sussex County, Delaware",224384,35491,24933,11.11%,Sussex County,Delaware
"District of Columbia, District of Columbia",692683,56147,107140,15.47%,District of Columbia,District of Columbia
"Alachua County, Florida",265443,28646,53601,20.19%,Alachua County,Florida
"Baker County, Florida",28211,24686,3017,10.69%,Baker County,Florida
"Bay County, Florida",182161,29290,26221,14.39%,Bay County,Florida
"Bradford County, Florida",27317,20529,5202,19.04%,Bradford County,Florida
"Brevard County, Florida",585507,32176,68456,11.69%,Brevard County,Florida
"Broward County, Florida",1926205,32909,249553,12.96%,Broward County,Florida
"Calhoun County, Florida",14362,19304,1809,12.6%,Calhoun County,Florida
"Charlotte County, Florida",181067,32144,19623,10.84%,Charlotte County,Florida
"Citrus County, Florida",145169,26989,22350,15.4%,Citrus County,Florida
"Clay County, Florida",211405,30483,21432,10.14%,Clay County,Florida
"Collier County, Florida",371453,45567,41243,11.1%,Collier County,Florida
"Columbia County, Florida",69968,24275,10261,14.67%,Columbia County,Florida
"DeSoto County, Florida",36903,18503,9399,25.47%,DeSoto County,Florida
"Dixie County, Florida",16589,21144,3158,19.04%,Dixie County,Florida
"Duval County, Florida",936186,31327,132346,14.14%,Duval County,Florida
"Escambia County, Florida",313491,28022,41439,13.22%,Escambia County,Florida
"Flagler County, Florida",109801,29383,13488,12.28%,Flagler County,Florida
"Franklin County, Florida",11811,26574,1917,16.23%,Franklin County,Florida
"Gadsden County, Florida",45945,20734,9681,21.07%,Gadsden County,Florida
"Gilchrist County, Florida",17953,21578,2827,15.75%,Gilchrist County,Florida
"Glades County, Florida",13516,21953,2143,15.86%,Glades County,Florida
"Gulf County, Florida",15576,23252,1690,10.85%,Gulf County,Florida
"Hamilton County, Florida",14326,16136,3296,23.01%,Hamilton County,Florida
"Hardee County, Florida",27131,17754,6105,22.5%,Hardee County,Florida
"Hendry County, Florida",40732,19167,10159,24.94%,Hendry County,Florida
"Hernando County, Florida",186313,25860,25902,13.9%,Hernando County,Florida
"Highlands County, Florida",103437,25752,18949,18.32%,Highlands County,Florida
"Hillsborough County, Florida",1422278,32343,204145,14.35%,Hillsborough County,Florida
"Holmes County, Florida",19432,19201,4004,20.61%,Holmes County,Florida
"Indian River County, Florida",153989,36516,17418,11.31%,Indian River County,Florida
"Jackson County, Florida",47945,20019,7787,16.24%,Jackson County,Florida
"Jefferson County, Florida",14161,24510,1984,14.01%,Jefferson County,Florida
"Lafayette County, Florida",8637,20776,910,10.54%,Lafayette County,Florida
"Lake County, Florida",345867,28348,40961,11.84%,Lake County,Florida
"Lee County, Florida",737468,33543,95303,12.92%,Lee County,Florida
"Leon County, Florida",289770,30586,56797,19.6%,Leon County,Florida
"Levy County, Florida",40403,21579,8270,20.47%,Levy County,Florida
"Liberty County, Florida",8345,17872,1163,13.94%,Liberty County,Florida
"Madison County, Florida",18460,19510,4523,24.5%,Madison County,Florida
"Manatee County, Florida",384213,33853,44627,11.62%,Manatee County,Florida
"Marion County, Florida",353526,25839,55192,15.61%,Marion County,Florida
"Martin County, Florida",159065,42199,15367,9.66%,Martin County,Florida
"Miami-Dade County, Florida",2699428,28224,455005,16.86%,Miami-Dade County,Florida
"Monroe County, Florida",75798,46028,8160,10.77%,Monroe County,Florida
"Nassau County, Florida",83098,36553,8680,10.45%,Nassau County,Florida
"Okaloosa County, Florida",203794,33019,21567,10.58%,Okaloosa County,Florida
"Okeechobee County, Florida",41144,21367,7982,19.4%,Okeechobee County,Florida
"Orange County, Florida",1349746,30456,195467,14.48%,Orange County,Florida
"Osceola County, Florida",351955,22196,51791,14.72%,Osceola County,Florida
"Palm Beach County, Florida",1465027,39933,175742,12.0%,Palm Beach County,Florida
"Pasco County, Florida",524602,29001,65753,12.53%,Pasco County,Florida
"Pinellas County, Florida",964666,35196,116107,12.04%,Pinellas County,Florida
"Polk County, Florida",686218,24864,106475,15.52%,Polk County,Florida
"Putnam County, Florida",73252,20915,16932,23.11%,Putnam County,Florida
