Country Name,Country Code,2010,2011,2012,2013,2014,2015
Sudan,SDN,15.17,17.44,17.45,17.47,17.36,17.29
Senegal,SEN,10.34,10.36,9.42,8.53,7.61,6.76
Singapore,SGP,4.12,3.89,3.72,3.86,3.74,3.79
Solomon Islands,SLB,1.64,1.28,0.96,0.69,0.68,0.67
Sierra Leone,SLE,4.16,4.29,4.44,4.59,4.68,4.64
El Salvador,SLV,4.89,4.3,3.84,3.69,4.15,4.0
Somalia,SOM,13.39,13.38,13.39,13.41,13.32,13.25
Serbia,SRB,19.22,22.97,24.0,22.15,19.22,17.66
Sub-Saharan Africa (excluding high income),SSA,5.979664584,5.885741122,5.835353277,5.710783267,5.775527428,5.780728173
South Sudan,SSD,12.58,12.57,12.59,12.6,12.51,12.45
Sub-Saharan Africa,SSF,5.979664584,5.885741122,5.835353277,5.710783267,5.775527428,5.780728173
Small states,SST,10.55370619,10.1997667,10.12173266,10.33798092,9.993275612,9.890063683
Sao Tome and Principe,STP,14.64,14.1,13.59,13.6,13.52,13.46
Suriname,SUR,7.15,7.54,8.1,6.6,6.94,7.22
Slovak Republic,SVK,14.38,13.62,13.96,14.22,13.18,11.48
Slovenia,SVN,7.24,8.17,8.84,10.1,9.67,8.96
Sweden,SWE,8.61,7.8,7.98,8.05,7.95,7.43
Eswatini,SWZ,26.82,26.15,25.52,24.9,24.14,23.44
Syrian Arab Republic,SYR,8.61,8.6,8.61,8.62,8.55,8.5
Chad,TCD,1.59,1.66,1.73,1.8,1.83,1.87
East Asia & Pacific (IDA & IBRD countries),TEA,4.14408583,4.079836029,4.069693076,4.056227396,4.034880803,4.094428752
Europe & Central Asia (IDA & IBRD countries),TEC,8.569219524,8.030922542,7.54874229,7.599512347,7.653562152,7.615148116
Togo,TGO,2.39,1.98,2.05,2.12,2.16,2.2
Thailand,THA,0.62,0.66,0.58,0.21,0.58,0.6
Tajikistan,TJK,10.85,10.16,9.5,8.86,8.17,7.53
Turkmenistan,TKM,4.0,4.0,4.0,4.01,3.97,3.94
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.978301253,6.484296288,6.40078604,6.35235566,6.188680484,6.739382767
Timor-Leste,TLS,3.3,3.53,3.77,4.03,4.23,4.45
Middle East & North Africa (IDA & IBRD countries),TMN,10.63578915,11.38009444,11.69574247,11.29149525,11.47100425,11.66654864
Tonga,TON,1.75,1.92,2.11,2.31,2.46,2.64
South Asia (IDA & IBRD),TSA,4.931766791,4.963764868,5.085329325,5.261257162,5.092405822,5.245459209
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.979664584,5.885741122,5.835353277,5.710783267,5.775527428,5.780728173
Trinidad and Tobago,TTO,4.03,3.43,3.72,2.68,2.48,2.43
Tunisia,TUN,13.05,18.33,17.63,15.93,15.06,15.16
Turkey,TUR,10.66,8.8,8.15,8.73,9.88,10.24
Tanzania,TZA,2.98,3.47,3.19,2.93,2.13,2.1
Uganda,UGA,3.61,3.58,3.55,1.91,1.88,1.86
Ukraine,UKR,8.1,7.85,7.53,7.17,9.27,9.14
Upper middle income,UMC,5.692439343,5.524930297,5.511313764,5.511585721,5.49547392,5.667411898
Uruguay,URY,7.16,6.31,6.45,6.44,6.55,7.49
United States,USA,9.63,8.95,8.07,7.38,6.17,5.28
Uzbekistan,UZB,5.4,5.0,4.9,4.9,5.1,5.2
St. Vincent and the Grenadines,VCT,19.32,19.31,19.33,19.35,19.23,19.16
"Venezuela, RB",VEN,7.11,6.9,6.6,7.54,7.48,7.44
Virgin Islands (U.S.),VIR,7.2,7.27,7.3,7.34,7.45,7.57
Vietnam,VNM,1.11,1.0,1.03,1.32,1.26,1.85
Vanuatu,VUT,1.85,1.85,1.85,1.85,1.83,1.81
World,WLD,5.920482932,5.783887616,5.779611667,5.767192313,5.627470239,5.631483478
Samoa,WSM,5.6,5.68,8.75,8.79,8.72,8.66
"Yemen, Rep.",YEM,12.93,13.08,13.24,13.41,13.47,13.4
South Africa,ZAF,24.68,24.64,24.73,24.56,24.89,25.15
Zambia,ZMB,13.19,10.34,7.85,8.61,9.34,10.1
Zimbabwe,ZWE,5.22,5.37,5.38,5.38,5.33,5.29
