Type,Combined_MPG,Make_Model
Subcompact Cars,22,INFINITI_Q60 RED SPORT
Subcompact Cars,18.6722,LEXUS_LC 500
Subcompact Cars,29.6181,LEXUS_LC 500h
Subcompact Cars,24.4904,LEXUS_RC 300
Subcompact Cars,21.4965,LEXUS_RC 300 AWD
Subcompact Cars,22.8079,LEXUS_RC 350
Subcompact Cars,21.4965,LEXUS_RC 350 AWD
Subcompact Cars,19,LEXUS_RC F
Subcompact Cars,15.6552,MASERATI_GRANTURISMO CONVERTIBLE
Subcompact Cars,28.3488,Mercedes-Benz_A 220
Subcompact Cars,27.9185,Mercedes-Benz_A 220 4MATIC
Subcompact Cars,21.0704,Mercedes-Benz_AMG C 43 4MATIC (convertible)
Subcompact Cars,21.7146,Mercedes-Benz_AMG C 43 4MATIC (coupe)
Subcompact Cars,19.6981,Mercedes-Benz_AMG C 63 (convertible)
Subcompact Cars,20.0502,Mercedes-Benz_AMG C 63 (coupe)
Subcompact Cars,19.6981,Mercedes-Benz_AMG C 63 S (convertible)
Subcompact Cars,20.0502,Mercedes-Benz_AMG C 63 S (coupe)
Subcompact Cars,22.5517,Mercedes-Benz_AMG E53 4MATIC+ (Convertible)
Subcompact Cars,23.3607,Mercedes-Benz_AMG E53 4MATIC+ (Coupe)
Subcompact Cars,17.9865,Mercedes-Benz_AMG S 63 4MATIC (convertible)
Subcompact Cars,16.4115,Mercedes-Benz_AMG S 65 (convertible)
Subcompact Cars,23.9681,Mercedes-Benz_C 300 (convertible)
Subcompact Cars,24.8683,Mercedes-Benz_C 300 (Coupe)
Subcompact Cars,23.8762,Mercedes-Benz_C 300 4MATIC (convertible)
Subcompact Cars,24.8309,Mercedes-Benz_C 300 4MATIC (Coupe)
Subcompact Cars,22.6853,Mercedes-Benz_E 450 (convertible)
Subcompact Cars,22.9182,Mercedes-Benz_E 450 (coupe)
Subcompact Cars,21.8041,Mercedes-Benz_E 450 4MATIC (convertible)
Subcompact Cars,21.739,Mercedes-Benz_E 450 4MATIC (coupe)
Subcompact Cars,20.1785,Mercedes-Benz_S 560 (convertible)
Subcompact Cars,29.8564,Mini_COOPER HARDTOP 2 DOOR
Subcompact Cars,31.5243,Mini_COOPER HARDTOP 2 DOOR
Subcompact Cars,29.8564,Mini_COOPER HARDTOP 4 DOOR
Subcompact Cars,31.4195,Mini_COOPER HARDTOP 4 DOOR
Subcompact Cars,28.1232,Mini_COOPER S HARDTOP 2 DOOR
Subcompact Cars,26.2704,Mini_COOPER S HARDTOP 2 DOOR
Subcompact Cars,28.1232,Mini_COOPER S HARDTOP 4 DOOR
Subcompact Cars,26.2704,Mini_COOPER S HARDTOP 4 DOOR
Subcompact Cars,28.1232,Mini_JOHN COOPER WORKS HARDTOP
Subcompact Cars,26.2704,Mini_JOHN COOPER WORKS HARDTOP
Subcompact Cars,18,NISSAN_GT-R
Subcompact Cars,14.6832,"Roush Industries, Inc._Roush Stage 3 Mustang"
Subcompact Cars,15.2813,"Roush Industries, Inc._Roush Stage 3 Mustang"
Subcompact Cars,28.7418,Volkswagen_Beetle Convertible
Compact Cars,27.9249,Acura_ILX
Compact Cars,23.3366,Acura_TLX AWD
Compact Cars,22.8512,Acura_TLX AWD A-SPEC
Compact Cars,26.9868,Acura_TLX FWD
Compact Cars,23.6967,Acura_TLX FWD
Compact Cars,26.3463,Acura_TLX FWD A-SPEC
Compact Cars,23.3109,Acura_TLX FWD A-SPEC
Compact Cars,30.1316,Audi_A4
Compact Cars,27.1178,Audi_A4 quattro
Compact Cars,24.0356,Audi_S4
Compact Cars,29.6146,BMW_330i
Compact Cars,28.2689,BMW_330i xDrive
Compact Cars,27.4016,BMW_430i Coupe
Compact Cars,25.3157,BMW_430i Coupe
Compact Cars,27.4016,BMW_430i Gran Coupe
Compact Cars,26.7896,BMW_430i xDrive Coupe
Compact Cars,26.7896,BMW_430i xDrive Gran Coupe
Compact Cars,25.0797,BMW_440i Coupe
Compact Cars,21.8283,BMW_440i Coupe
Compact Cars,25.0797,BMW_440i Gran Coupe
Compact Cars,24.1723,BMW_440i xDrive Coupe
Compact Cars,21.4097,BMW_440i xDrive Coupe
Compact Cars,24.1723,BMW_440i xDrive Gran Coupe
Compact Cars,23.3559,BMW_640i Gran Coupe
Compact Cars,22.4153,BMW_640i xDrive Gran Coupe
Compact Cars,20.5995,BMW_650i Gran Coupe
Compact Cars,19.8061,BMW_650i xDrive Gran Coupe
Compact Cars,19.8061,BMW_Alpina B6 xDrive Gran Coupe
Compact Cars,18.8793,BMW_M4 Coupe
Compact Cars,20.1654,BMW_M4 Coupe
Compact Cars,18.8793,BMW_M4 Coupe Competition
Compact Cars,20.1654,BMW_M4 Coupe Competition
Compact Cars,18.8793,BMW_M4 CS
Compact Cars,16.0033,BMW_M6 Gran Coupe
Compact Cars,17.0216,BMW_M6 Gran Coupe
Compact Cars,25.2376,Cadillac_ATS
Compact Cars,22.5028,Cadillac_ATS
Compact Cars,23.7089,Cadillac_ATS AWD
Compact Cars,20.5366,Cadillac_ATS AWD
Compact Cars,19.7749,Cadillac_ATS-V
Compact Cars,18.6736,Cadillac_ATS-V
Compact Cars,33.2416,Chevrolet_CRUZE
Compact Cars,32.038,Chevrolet_CRUZE
Compact Cars,36.8031,Chevrolet_CRUZE
Compact Cars,32.038,Chevrolet_CRUZE PREMIER
Compact Cars,28.8278,Chevrolet_SONIC
Compact Cars,31.1187,Chevrolet_SONIC
Compact Cars,27.8047,Ford_Fiesta ST FWD
Compact Cars,23.2939,GENESIS_G70 AWD
Compact Cars,20.2749,GENESIS_G70 AWD
Compact Cars,24.8653,GENESIS_G70 RWD
Compact Cars,21.6779,GENESIS_G70 RWD
Compact Cars,20.8702,GENESIS_G70 RWD
Compact Cars,34.5174,Honda_CIVIC 2Dr
Compact Cars,32.7841,Honda_CIVIC 2Dr
Compact Cars,31.6578,Honda_CIVIC 2Dr
Compact Cars,33.3494,Honda_CIVIC 2Dr
Compact Cars,31.5509,Honda_CIVIC 2Dr
Compact Cars,29.0774,Honda_CIVIC 2Dr
Compact Cars,31.9544,HYUNDAI MOTOR COMPANY_Accent
Compact Cars,31.278,HYUNDAI MOTOR COMPANY_Accent
Compact Cars,30.2742,HYUNDAI MOTOR COMPANY_Veloster
Compact Cars,28.9551,HYUNDAI MOTOR COMPANY_Veloster
Compact Cars,29.847,HYUNDAI MOTOR COMPANY_Veloster
Compact Cars,28.2369,HYUNDAI MOTOR COMPANY_Veloster
Compact Cars,24.7001,HYUNDAI MOTOR COMPANY_Veloster N
Compact Cars,27,INFINITI_QX30
Compact Cars,24.7355,INFINITI_QX30 AWD
Compact Cars,35.8667,Jaguar_XE
Compact Cars,28.4037,Jaguar_XE
Compact Cars,23.9925,Jaguar_XE
Compact Cars,34.0109,Jaguar_XE AWD
Compact Cars,27.6136,Jaguar_XE AWD
Compact Cars,23.1223,Jaguar_XE AWD
Compact Cars,18.4758,Jaguar_XE AWD
Compact Cars,31.6614,KIA MOTORS CORPORATION_Rio
Compact Cars,31.8592,KIA MOTORS CORPORATION_Rio
Compact Cars,18.751,LEXUS_GS F
Compact Cars,24.4904,LEXUS_IS 300
Compact Cars,21.4965,LEXUS_IS 300 AWD
Compact Cars,22.8079,LEXUS_IS 350
Compact Cars,21.4965,LEXUS_IS 350 AWD
Compact Cars,42.0612,LEXUS_UX 250h
Compact Cars,39,LEXUS_UX 250h AWD
Compact Cars,30.6958,MAZDA_CX-3 2WD
Compact Cars,29.169,MAZDA_CX-3 4WD
Compact Cars,34.9351,MAZDA_MAZDA2
Compact Cars,34.0784,MAZDA_MAZDA2
Compact Cars,30.177,MAZDA_Mazda3 4-Door 2WD
Compact Cars,29.6181,MAZDA_Mazda3 4-Door 2WD
Compact Cars,28.3285,MAZDA_Mazda3 4-Door 4WD
Compact Cars,21.9176,Mercedes-Benz_AMG C 43 4MATIC
Compact Cars,20.9747,Mercedes-Benz_AMG C 63
Compact Cars,20.9747,Mercedes-Benz_AMG C 63 S
Compact Cars,25.6759,Mercedes-Benz_AMG CLA 45 4MATIC
Compact Cars,23.4607,Mercedes-Benz_AMG CLS53 4MATIC+
Compact Cars,20.9556,Mercedes-Benz_AMG GT 53 4MATIC+
Compact Cars,17.1795,Mercedes-Benz_AMG GT 63 4MATIC+
Compact Cars,17.1261,Mercedes-Benz_AMG GT 63 S 4MATIC+
Compact Cars,20.2762,Mercedes-Benz_AMG S 63 4MATIC (coupe)
Compact Cars,16.092,Mercedes-Benz_AMG S 65 (coupe)
Compact Cars,26.8058,Mercedes-Benz_C 300
Compact Cars,26.0134,Mercedes-Benz_C 300 4MATIC
Compact Cars,28.6744,Mercedes-Benz_CLA 250
Compact Cars,26.9404,Mercedes-Benz_CLA 250 4MATIC
Compact Cars,26.9404,Mercedes-Benz_CLA 250 4MATIC
Compact Cars,26.4979,Mercedes-Benz_CLS 450
Compact Cars,25.7655,Mercedes-Benz_CLS 450 4MATIC
Compact Cars,20.1091,Mercedes-Benz_S 560 4MATIC (coupe)
Compact Cars,38.5478,Mitsubishi Motors Corporation_MIRAGE
Compact Cars,36.398,Mitsubishi Motors Corporation_MIRAGE
Compact Cars,37,Mitsubishi Motors Corporation_MIRAGE G4
Compact Cars,35,Mitsubishi Motors Corporation_MIRAGE G4
Compact Cars,33.9709,NISSAN_VERSA
Compact Cars,30,NISSAN_VERSA
Compact Cars,13.8915,Rolls-Royce Motor Cars Limited_Dawn
Compact Cars,20.5284,Subaru_WRX
Compact Cars,23.1122,Subaru_WRX
Compact Cars,18.6094,Subaru_WRX
Compact Cars,28.8126,TOYOTA_C-HR
Compact Cars,35.7647,TOYOTA_COROLLA HATCHBACK
Compact Cars,31.4664,TOYOTA_COROLLA HATCHBACK MANUAL
Compact Cars,33.1681,TOYOTA_COROLLA HATCHBACK XSE
Compact Cars,46.2114,TOYOTA_PRIUS c
Compact Cars,31.8498,TOYOTA_YARIS
Compact Cars,35,TOYOTA_YARIS
Compact Cars,34.3374,TOYOTA_YARIS
Compact Cars,28.7418,Volkswagen_Beetle
Compact Cars,31.9721,Volkswagen_Golf
Compact Cars,32.2662,Volkswagen_Golf
Compact Cars,25.7027,Volkswagen_Golf R
Compact Cars,23.6775,Volkswagen_Golf R
Compact Cars,27.2073,Volkswagen_GTI
Compact Cars,27.0448,Volkswagen_GTI
Compact Cars,33.8068,Volkswagen_Jetta
Compact Cars,33.583,Volkswagen_Jetta
Compact Cars,28.0564,Volkswagen_Jetta
Compact Cars,27.5279,Volkswagen_Jetta
Compact Cars,25.1479,"Volvo Cars of North America, LLC_S60 AWD"
Compact Cars,27.9767,"Volvo Cars of North America, LLC_S60 FWD"
Midsize Cars,28,Acura_RLX
Midsize Cars,23.1967,Acura_RLX
Midsize Cars,26.9548,ALFA ROMEO_Giulia
Midsize Cars,19.7059,ALFA ROMEO_Giulia
Midsize Cars,25.5433,ALFA ROMEO_Giulia AWD
Midsize Cars,27.1178,Audi_A5 Sportback quattro
Midsize Cars,24.6075,Audi_A6 quattro
Midsize Cars,24.6075,Audi_A7 quattro
Midsize Cars,20.4608,Audi_RS 5 Sportback
Midsize Cars,24.0356,Audi_S5 Sportback
Midsize Cars,11.771,Bentley_Mulsanne
Midsize Cars,27.4016,BMW_530i
Midsize Cars,26.7896,BMW_530i xDrive
Midsize Cars,23.8145,BMW_540i
Midsize Cars,24.0308,BMW_540i xDrive
Midsize Cars,16.9762,BMW_M5
Midsize Cars,16.9762,BMW_M5 Competition
Midsize Cars,20.4315,BMW_M550i xDrive
Midsize Cars,25.403,BMW_X2 M35i
Midsize Cars,25.9479,BMW_X2 sDrive28i
Midsize Cars,24.7785,BMW_X2 xDrive28i
Midsize Cars,28.6741,Buick_LACROSSE
Midsize Cars,23.7011,Buick_LACROSSE
Midsize Cars,23.2106,Buick_LACROSSE AWD
Midsize Cars,25.7735,Buick_REGAL
Midsize Cars,24.3822,Buick_REGAL AWD
Midsize Cars,22,Buick_REGAL AWD
Midsize Cars,25.1291,Cadillac_CTS
Midsize Cars,22.5028,Cadillac_CTS
Midsize Cars,19,Cadillac_CTS
Midsize Cars,23.7089,Cadillac_CTS AWD
Midsize Cars,20.5366,Cadillac_CTS AWD
Midsize Cars,16.3965,Cadillac_CTS-V
Midsize Cars,32.038,Chevrolet_CRUZE HATCHBACK
Midsize Cars,35,Chevrolet_CRUZE HATCHBACK
Midsize Cars,31,Chevrolet_CRUZE PREMIER HATCHBACK
Midsize Cars,31.5418,Chevrolet_MALIBU
Midsize Cars,46.3689,Chevrolet_MALIBU
Midsize Cars,25.7929,Chevrolet_MALIBU
Midsize Cars,22.7798,Dodge_Challenger
Midsize Cars,19.062,Dodge_Challenger
Midsize Cars,17.9612,Dodge_Challenger
Midsize Cars,17.8371,Dodge_Challenger
Midsize Cars,16.9149,Dodge_Challenger
Midsize Cars,21.4055,Dodge_Challenger GT
Midsize Cars,16.2222,Dodge_Challenger SRT
Midsize Cars,15.5775,Dodge_Challenger SRT
Midsize Cars,22.99,Ford_FUSION AWD
Midsize Cars,20,Ford_FUSION AWD
Midsize Cars,27.156,Ford_FUSION FWD
Midsize Cars,24.8156,Ford_FUSION FWD
Midsize Cars,24.6424,Ford_FUSION FWD
Midsize Cars,42,Ford_FUSION HYBRID FWD
Midsize Cars,41,Ford_FUSION HYBRID TAXI
Midsize Cars,25.9525,Honda_ACCORD 2.0T SPORT/TOURING
Midsize Cars,35.6103,Honda_CIVIC 4Dr
Midsize Cars,33.2383,Honda_CIVIC 4Dr
Midsize Cars,31.6578,Honda_CIVIC 4Dr
Midsize Cars,33.0377,Honda_CIVIC 4Dr
Midsize Cars,32.0019,Honda_CIVIC 4Dr
Midsize Cars,29.4217,Honda_CIVIC 4Dr
Midsize Cars,51.9827,Honda_INSIGHT
Midsize Cars,47.975,Honda_INSIGHT TOURING
Midsize Cars,34.8198,HYUNDAI MOTOR COMPANY_Elantra
Midsize Cars,29.1938,HYUNDAI MOTOR COMPANY_Elantra
Midsize Cars,25.0067,HYUNDAI MOTOR COMPANY_Elantra
Midsize Cars,31.5974,HYUNDAI MOTOR COMPANY_Elantra
Midsize Cars,29.4374,HYUNDAI MOTOR COMPANY_Elantra
Midsize Cars,32.5978,HYUNDAI MOTOR COMPANY_Elantra SE
Midsize Cars,41,HYUNDAI MOTOR COMPANY_Sonata HYBRID
Midsize Cars,42,HYUNDAI MOTOR COMPANY_Sonata HYBRID SE
Midsize Cars,25,INFINITI_Q50
Midsize Cars,23.0508,INFINITI_Q50
Midsize Cars,24.3554,INFINITI_Q50 AWD
Midsize Cars,21.8501,INFINITI_Q50 AWD
Midsize Cars,21.9477,INFINITI_Q50 AWD RED SPORT
Midsize Cars,22.0312,INFINITI_Q50 RED SPORT
Midsize Cars,21.3231,INFINITI_Q70
Midsize Cars,18.9741,INFINITI_Q70
Midsize Cars,20.1125,INFINITI_Q70 AWD
Midsize Cars,18.1274,INFINITI_Q70 AWD
Midsize Cars,35.1055,Jaguar_XF
Midsize Cars,28.4037,Jaguar_XF
Midsize Cars,23.378,Jaguar_XF
Midsize Cars,34.0109,Jaguar_XF AWD
Midsize Cars,26.6728,Jaguar_XF AWD
Midsize Cars,22.6633,Jaguar_XF AWD
Midsize Cars,33.6738,KIA MOTORS CORPORATION_Forte
Midsize Cars,31.0015,KIA MOTORS CORPORATION_Forte
Midsize Cars,34.7078,KIA MOTORS CORPORATION_Forte FE
Midsize Cars,41.3755,KIA MOTORS CORPORATION_Optima Hybrid
Midsize Cars,24.1415,KIA MOTORS CORPORATION_Stinger AWD
Midsize Cars,20.1167,KIA MOTORS CORPORATION_Stinger AWD
Midsize Cars,24.5081,KIA MOTORS CORPORATION_Stinger RWD
Midsize Cars,20.1077,KIA MOTORS CORPORATION_Stinger RWD
Midsize Cars,44.1781,LEXUS_ES 300h
Midsize Cars,25.7278,LEXUS_ES 350
Midsize Cars,25.0685,LEXUS_ES 350 F SPORT
Midsize Cars,25.6041,LEXUS_GS 300
Midsize Cars,24.0078,LEXUS_GS 300 F SPORT
Midsize Cars,22.8079,LEXUS_GS 350
Midsize Cars,21.4965,LEXUS_GS 350 AWD
