STREET NAME ID,STREET NAME,STREET FULL NAME,POSTAL COMMUNITY,MUNICIPAL COMMUNITY
16311,WISTERIA LAKES,WISTERIA LAKES DR,CENTRAL,CENTRAL
16320,WATERSIDE,W WATERSIDE DR,"CENTRAL,GREENWELL SPRINGS",CENTRAL
16321,THERIOT,THERIOT ST,CENTRAL,CENTRAL
17060,DOVEFIELD,DOVEFIELD AVE,ZACHARY,ZACHARY
16352,STONEY BROOK,STONEY BROOK RD,ZACHARY,ZACHARY
16360,VERNON,W VERNON RD,ZACHARY,ZACHARY
16361,VERNON,S VERNON RD,ZACHARY,ZACHARY
16371,SWEETS,SWEETS LN,BATON ROUGE,BATON ROUGE
16378,WATER OAK,WATER OAK DR,ZACHARY,ZACHARY
17104,KENILWORTH CROSSING,KENILWORTH CROSSING AVE,BATON ROUGE,PARISH
16381,WOODSIDE,WOODSIDE DR,ZACHARY,ZACHARY
16389,WINDWOOD,WINDWOOD DR,ZACHARY,ZACHARY
16393,WESTCHESTER,WESTCHESTER AVE,ZACHARY,ZACHARY
16398,SUTTER PLACE,SUTTER PLACE LN,ZACHARY,PARISH
16399,VILLA COURT,VILLA COURT DR,BATON ROUGE,PARISH
16401,TOUCHDOWN,TOUCHDOWN PLAZA,BATON ROUGE,BATON ROUGE
16430,VILLA VISTA,VILLA VISTA DR,BATON ROUGE,PARISH
16431,STUMBERG VILLAS,N STUMBERG VILLAS CT,BATON ROUGE,PARISH
16438,STROHMBERG,STROHMBERG DR,BATON ROUGE,PARISH
16449,WOMAN'S,WOMAN'S WAY,BATON ROUGE,PARISH
16453,VILLA CARRE,VILLA CARRE DR,BATON ROUGE,PARISH
16455,WATERFORD,WATERFORD DR,ZACHARY,ZACHARY
16457,TREVI,TREVI CT,BATON ROUGE,PARISH
16467,TIGER,TIGER AVE,BATON ROUGE,BATON ROUGE
16471,THE GROVE,THE GROVE AVE,BATON ROUGE,BATON ROUGE
16472,THE GROVE,THE GROVE BLVD,BATON ROUGE,"BATON ROUGE,PARISH"
16478,VALENCIA,VALENCIA CT,BATON ROUGE,PARISH
16480,WOODWARD,WOODWARD ST,BAKER,BAKER
16483,WATSON,WATSON LN,ZACHARY,PARISH
16484,VILLA GROVE,VILLA GROVE DR,BATON ROUGE,PARISH
16488,TENNENT,TENNENT LN,ZACHARY,PARISH
16489,WHITNEY,WHITNEY LN,SLAUGHTER,PARISH
16500,WEBB'S,WEBB'S WAY,GREENWELL SPRINGS,PARISH
16505,WABASH,WABASH BLVD,BATON ROUGE,BATON ROUGE
16506,YELLOW BRICK,YELLOW BRICK RD,BATON ROUGE,PARISH
16514,SWEET WATER,SWEET WATER DR,BATON ROUGE,PARISH
16515,SUGAR CANE,SUGAR CANE LN,BATON ROUGE,PARISH
16516,UPPER ASBURY,UPPER ASBURY LN,SLAUGHTER,PARISH
10001,MORGAN SPRINGS,MORGAN SPRINGS DR,GREENWELL SPRINGS,CENTRAL
10002,SILVER SPRINGS,SILVER SPRINGS DR,GREENWELL SPRINGS,CENTRAL
10003,GLENWOOD SPRINGS,GLENWOOD SPRINGS DR,GREENWELL SPRINGS,CENTRAL
10004,SEDONA PINES,SEDONA PINES DR,BATON ROUGE,PARISH
10006,LAKE,LAKE CT,ZACHARY,ZACHARY
17105,PALMETTO POINT,PALMETTO POINT DR,BATON ROUGE,PARISH
10008,HILLSPRINGS,HILLSPRINGS AVE,BATON ROUGE,PARISH
10009,HILLRIDGE,HILLRIDGE AVE,BATON ROUGE,PARISH
1001,CHALICE,CHALICE DR,BATON ROUGE,BATON ROUGE
10010,HILLPARK,HILLPARK AVE,BATON ROUGE,PARISH
10011,DAKOTA SKY,DAKOTA SKY LN,GREENWELL SPRINGS,CENTRAL
10012,COREY LEIGH,COREY LEIGH DR,GREENWELL SPRINGS,CENTRAL
10013,BURDEN,BURDEN LN,BATON ROUGE,PARISH
10014,SAINT JEAN,SAINT JEAN DR,BATON ROUGE,PARISH
10015,SAINT JEAN,E SAINT JEAN DR,BATON ROUGE,PARISH
10016,SAINT JEAN,W SAINT JEAN DR,BATON ROUGE,PARISH
10017,CEDAR,CEDAR CT,BATON ROUGE,PARISH
10018,CEDAR,CEDAR CIR,BATON ROUGE,PARISH
10019,CEDAR POINTE,CEDAR POINTE BLVD,BATON ROUGE,PARISH
1002,CHALMA,CHALMA AVE,BATON ROUGE,BATON ROUGE
10021,OLD HOOPER,OLD HOOPER RD,BATON ROUGE,BATON ROUGE
10024,LANDAU,LANDAU DR,BATON ROUGE,PARISH
10025,CARIOLE,CARIOLE DR,BATON ROUGE,PARISH
10027,MONTRACHET,MONTRACHET DR,BATON ROUGE,PARISH
10028,SERENITY OAKS,SERENITY OAKS DR,BATON ROUGE,PARISH
10029,PULIGNY,PULIGNY AVE,BATON ROUGE,PARISH
1003,CHALMERS,CHALMERS ST,BATON ROUGE,BATON ROUGE
10030,CHEVALIER,CHEVALIER AVE,BATON ROUGE,PARISH
10031,MONTBARD,MONTBARD AVE,BATON ROUGE,PARISH
10032,CHAUMONT,CHAUMONT AVE,BATON ROUGE,PARISH
10033,GRAND CRUS,GRAND CRUS AVE,BATON ROUGE,PARISH
10034,QUAIL GROVE,QUAIL GROVE AVE,BATON ROUGE,PARISH
1004,CHALMETTE,CHALMETTE AVE,BATON ROUGE,PARISH
1005,CHAMBERLAIN,CHAMBERLAIN AVE,BAKER,"BAKER,PARISH"
1006,CHAMBORD,CHAMBORD DR,GREENWELL SPRINGS,CENTRAL
1007,CHANADIA,CHANADIA DR,BATON ROUGE,BATON ROUGE
1008,CHANADIA,W CHANADIA DR,BATON ROUGE,BATON ROUGE
1009,CHANCELLORSVILLE,CHANCELLORSVILLE AVE,BATON ROUGE,PARISH
101,ADDISON,ADDISON ST,BATON ROUGE,BATON ROUGE
1011,CHANDLER,CHANDLER DR,BATON ROUGE,BATON ROUGE
1012,CHANEY,CHANEY DR,BATON ROUGE,BATON ROUGE
1013,CHANEY,CHANEY RD,ZACHARY,PARISH
1014,CHANOVE,CHANOVE AVE,GREENWELL SPRINGS,CENTRAL
1015,CHANTICLEER,CHANTICLEER CT,BATON ROUGE,PARISH
1016,CHANTILLY,CHANTILLY AVE,BATON ROUGE,PARISH
1017,CHAPARRAL,CHAPARRAL PL,GREENWELL SPRINGS,CENTRAL
1018,CHAPEAU,CHAPEAU DR,BAKER,BAKER
1019,CHAPEAU,W CHAPEAU DR,BAKER,BAKER
102,ADELLA,ADELLA ST,BATON ROUGE,BATON ROUGE
1020,CHAPELVIEW,CHAPELVIEW CT,BATON ROUGE,BATON ROUGE
1021,CHAPELWOOD,CHAPELWOOD DR,BATON ROUGE,BATON ROUGE
1023,CHARING CROSS,CHARING CROSS DR,BATON ROUGE,PARISH
1024,CHARING WAY,CHARING WAY AVE,BATON ROUGE,PARISH
1025,CHARINGTON,CHARINGTON AVE,BATON ROUGE,BATON ROUGE
1026,CHARIOT,CHARIOT DR,BATON ROUGE,PARISH
1027,CHARLENE,CHARLENE DR,BATON ROUGE,PARISH
1028,CHARLES,CHARLES AVE,BAKER,BAKER
1029,CHARLES,CHARLES ST,BATON ROUGE,BATON ROUGE
103,AFTON,N AFTON PKWY,BATON ROUGE,BATON ROUGE
1030,CHARLESTON,CHARLESTON DR,PRIDE,CENTRAL
1031,CHARLESTOWNE,CHARLESTOWNE LN,BATON ROUGE,BATON ROUGE
1033,CHARLOTTE,CHARLOTTE DR,BATON ROUGE,BATON ROUGE
1034,CHARLTON,CHARLTON RD,"BAKER,ZACHARY",PARISH
1035,CHARMAINE,CHARMAINE AVE,BATON ROUGE,BATON ROUGE
1036,CHARRY,CHARRY DR,BAKER,BAKER
1037,CHARTER OAK,CHARTER OAK DR,BATON ROUGE,PARISH
1038,CHARTER,CHARTER PL,BATON ROUGE,PARISH
1039,CHARTER RIDGE,CHARTER RIDGE CT,BATON ROUGE,PARISH
104,AFTON,S AFTON PKWY,BATON ROUGE,BATON ROUGE
17062,FIELD GLEN,FIELD GLEN DR,ZACHARY,ZACHARY
1040,CHASEFIELD,CHASEFIELD AVE,BATON ROUGE,PARISH
1041,CHATAWA,CHATAWA AVE,BATON ROUGE,BATON ROUGE
1042,CHATEAU,CHATEAU CT,BATON ROUGE,BATON ROUGE
1043,CHATEAU,CHATEAU DR,BATON ROUGE,BATON ROUGE
1044,CHATEAU ROUX,CHATEAU ROUX PL,ZACHARY,CENTRAL
1045,CHATFIELD,CHATFIELD AVE,BATON ROUGE,BATON ROUGE
1046,CHATSWORTH,CHATSWORTH ST,BATON ROUGE,BATON ROUGE
1047,CHATTANOOGA,CHATTANOOGA DR,BATON ROUGE,PARISH
1048,CHAUCER,CHAUCER DR,BATON ROUGE,PARISH
1049,CHAUMONT,CHAUMONT AVE,GREENWELL SPRINGS,CENTRAL
105,AFTONSHIRE,AFTONSHIRE LN,BATON ROUGE,PARISH
1053,CHELSEA,CHELSEA DR,BATON ROUGE,PARISH
1054,CHELWOOD,CHELWOOD AVE,BATON ROUGE,BATON ROUGE
1055,CHENANGO,CHENANGO DR,BATON ROUGE,BATON ROUGE
1056,CHEMIN,CHEMIN DR,BAKER,BAKER
1057,CHENE,CHENE AVE,BATON ROUGE,BATON ROUGE
1058,CHEROKEE,CHEROKEE AVE,BATON ROUGE,BATON ROUGE
1059,CHEROKEE ROSE,CHEROKEE ROSE DR,ZACHARY,ZACHARY
106,AIRLINE,AIRLINE HWY,BATON ROUGE,"BATON ROUGE,PARISH"
1060,CHERRY BARK,CHERRY BARK DR,BATON ROUGE,PARISH
1061,CHERRY HILL,CHERRY HILL AVE,BATON ROUGE,PARISH
1062,CHERRY OAK,CHERRY OAK DR,BATON ROUGE,PARISH
1063,CHERRY,CHERRY ST,BATON ROUGE,BATON ROUGE
1064,CHERRY,CHERRY ST,ZACHARY,ZACHARY
1065,CHERRYDALE,CHERRYDALE AVE,BATON ROUGE,BATON ROUGE
1066,CHERRYLAKE,CHERRYLAKE CT,BATON ROUGE,PARISH
1067,CHERRYRIDGE,CHERRYRIDGE DR,BATON ROUGE,PARISH
1068,CHERRYL,CHERRYL DR,BATON ROUGE,PARISH
1069,CHERRYWOOD,CHERRYWOOD DR,BATON ROUGE,PARISH
107,AIRPORT,E AIRPORT AVE,BATON ROUGE,BATON ROUGE
1070,CHERVIL,CHERVIL DR,GREENWELL SPRINGS,CENTRAL
1071,CHESAPEAKE,CHESAPEAKE AVE,BATON ROUGE,PARISH
1076,CHESTER,CHESTER DR,BAKER,BAKER
1077,CHESTER,CHESTER DR,BATON ROUGE,PARISH
1078,CHESTERFIELD,CHESTERFIELD DR,BATON ROUGE,BATON ROUGE
1079,CHESTNUT,CHESTNUT ST,BATON ROUGE,BATON ROUGE
108,AIRPORT,N AIRPORT AVE,BATON ROUGE,BATON ROUGE
1080,CHESTNUT,CHESTNUT ST,ZACHARY,ZACHARY
1081,CHEVELLE,CHEVELLE CT,BATON ROUGE,BATON ROUGE
1082,CHEVELLE,CHEVELLE DR,BATON ROUGE,BATON ROUGE
1083,CHEVERNT,CHEVERNT AVE,GREENWELL SPRINGS,CENTRAL
1084,CHEYENNE,CHEYENNE DR,BATON ROUGE,PARISH
1085,CHICKAMAUGA,CHICKAMAUGA AVE,BATON ROUGE,PARISH
1086,CHICKASAW,CHICKASAW AVE,GREENWELL SPRINGS,CENTRAL
1087,CHIMES,E CHIMES ST,BATON ROUGE,BATON ROUGE
1088,CHIMES,W CHIMES ST,BATON ROUGE,BATON ROUGE
1089,CHINN,CHINN ST,BATON ROUGE,BATON ROUGE
109,AIRWAY,AIRWAY DR,BATON ROUGE,BATON ROUGE
1090,CHINON,CHINON CT,GREENWELL SPRINGS,CENTRAL
1091,CHIPLEY,CHIPLEY ST,BAKER,BAKER
1092,CHIPPENDALE,CHIPPENDALE DR,BATON ROUGE,PARISH
1093,CHIPPENHAM,CHIPPENHAM DR,BATON ROUGE,BATON ROUGE
16518,VIEUX CARRE,N VIEUX CARRE CIR,CENTRAL,CENTRAL
1095,CHISHOLM,CHISHOLM AVE,BATON ROUGE,PARISH
1096,CHIVRE,CHIVRE AVE,GREENWELL SPRINGS,CENTRAL
1097,CHOCTAW,CHOCTAW DR,BATON ROUGE,BATON ROUGE
1098,CHOCTAW,S CHOCTAW DR,BATON ROUGE,BATON ROUGE
1099,CHOPIN,CHOPIN DR,BATON ROUGE,BATON ROUGE
11,12TH,N 12TH ST,BATON ROUGE,BATON ROUGE
110,AIRWAY,N AIRWAY DR,BATON ROUGE,BATON ROUGE
1100,CHRIS EVERT,CHRIS EVERT DR,BATON ROUGE,PARISH
1101,CHRISTIAN PAUL,CHRISTIAN PAUL AVE,BATON ROUGE,PARISH
1102,CHRISTIAN,CHRISTIAN ST,BATON ROUGE,BATON ROUGE
1103,CHRISTINA,CHRISTINA AVE,BATON ROUGE,BATON ROUGE
1104,CHRISTOPHER,CHRISTOPHER AVE,GREENWELL SPRINGS,CENTRAL
1105,CHRISTOPHER ESTATE,CHRISTOPHER ESTATE DR,GREENWELL SPRINGS,CENTRAL
1106,CHRISTOPHER'S CROSSING,CHRISTOPHER'S CROSSING DR,BATON ROUGE,PARISH
1107,CHUCK WAGON,CHUCK WAGON DR,ZACHARY,PARISH
1108,CHUCK YEAGER,CHUCK YEAGER AVE,BATON ROUGE,BATON ROUGE
1109,CHURCH,CHURCH ST,ZACHARY,ZACHARY
111,ALABAMA,ALABAMA AVE,BAKER,BAKER
1110,CHURCHILL,CHURCHILL AVE,BATON ROUGE,BATON ROUGE
1111,CICERO,N CICERO AVE,BATON ROUGE,PARISH
1112,CIMMARON,CIMMARON DR,CENTRAL,CENTRAL
1113,CINQUEFOIL,CINQUEFOIL AVE,BATON ROUGE,BATON ROUGE
1114,CIRCLE,CIRCLE DR,BAKER,BAKER
1115,CIRCLE,CIRCLE CT,BATON ROUGE,BATON ROUGE
1117,CITADEL,CITADEL DR,BATON ROUGE,BATON ROUGE
1119,CITIPLACE,CITIPLACE CT,BATON ROUGE,BATON ROUGE
112,ALABAMA,ALABAMA ST,BATON ROUGE,BATON ROUGE
1120,CITIPLACE,CITIPLACE DR,BATON ROUGE,BATON ROUGE
1121,CLAIBORNE,CLAIBORNE RD,BATON ROUGE,PARISH
1122,CLAIREWOOD,CLAIREWOOD CT,BATON ROUGE,BATON ROUGE
1123,CLAIRMONT,CLAIRMONT DR,BATON ROUGE,PARISH
1124,CLARA,CLARA DR,BATON ROUGE,BATON ROUGE
1125,CLARENDON,CLARENDON DR,BATON ROUGE,PARISH
1126,CLARET,CLARET AVE,BATON ROUGE,BATON ROUGE
1127,CLARK,CLARK ST,BAKER,BAKER
1129,CLASSIQUE,CLASSIQUE AVE,BATON ROUGE,BATON ROUGE
113,ALAMEDA,N ALAMEDA DR,BATON ROUGE,BATON ROUGE
1130,CLAUS,CLAUS CIR,BATON ROUGE,PARISH
1131,CLAYBROOK,CLAYBROOK DR,BATON ROUGE,PARISH
1132,CLAYCUT,CLAYCUT RD,BATON ROUGE,BATON ROUGE
1133,CLAYTON,CLAYTON CT,BATON ROUGE,BATON ROUGE
1134,CLAYTON,CLAYTON ST,BATON ROUGE,BATON ROUGE
1135,CLEAR LAKE,CLEAR LAKE AVE,BATON ROUGE,BATON ROUGE
1136,CLEAR OAK,CLEAR OAK AVE,CENTRAL,CENTRAL
1137,CLEARVIEW,CLEARVIEW AVE,BATON ROUGE,PARISH
1138,CLEO,CLEO ST,BATON ROUGE,BATON ROUGE
1139,CLEMATIS,CLEMATIS DR,BATON ROUGE,BATON ROUGE
114,ALAMEDA,S ALAMEDA DR,BATON ROUGE,BATON ROUGE
1140,CLERMONT,CLERMONT ST,BAKER,BAKER
1141,CLETUS,CLETUS DR,BATON ROUGE,BATON ROUGE
1143,CLIFFHAVEN,CLIFFHAVEN DR,BATON ROUGE,PARISH
1144,CLIFTON,CLIFTON DR,BATON ROUGE,BATON ROUGE
1145,CLINE,CLINE DR,BAKER,PARISH
1146,CLINTON,CLINTON AVE,BATON ROUGE,BATON ROUGE
1147,CLINTON,CLINTON CIR,BATON ROUGE,BATON ROUGE
1148,CLOUD,CLOUD DR,BATON ROUGE,BATON ROUGE
1149,CLOUDLAND,CLOUDLAND DR,CENTRAL,CENTRAL
115,ALAMO,ALAMO DR,CENTRAL,CENTRAL
1150,CLOVER,CLOVER DR,BATON ROUGE,BATON ROUGE
1151,CLOVER RIDGE,CLOVER RIDGE AVE,BATON ROUGE,PARISH
1152,CLOVERDALE,CLOVERDALE AVE,BATON ROUGE,BATON ROUGE
1153,CLOVERDALE,S CLOVERDALE AVE,BATON ROUGE,BATON ROUGE
1154,CLOVERLAND,CLOVERLAND AVE,BATON ROUGE,PARISH
1155,CLOVERLAND,CLOVERLAND CT,BATON ROUGE,PARISH
1156,CLOVERLAND PARK,CLOVERLAND PARK DR,BATON ROUGE,PARISH
1157,CLUB VIEW,CLUB VIEW DR,BATON ROUGE,PARISH
1158,CLUB VIEW EAST,CLUB VIEW EAST CT,BATON ROUGE,PARISH
1159,COBB,COBB ST,ZACHARY,ZACHARY
116,ALASKA,ALASKA ST,BATON ROUGE,BATON ROUGE
1160,COBBLESTONE,COBBLESTONE CT,BATON ROUGE,BATON ROUGE
1161,COCODRIE,COCODRIE AVE,BATON ROUGE,PARISH
1162,CODY,CODY DR,BATON ROUGE,PARISH
1163,CODY,CODY DR,BAKER,BAKER
1164,CO-ED,CO-ED PL,BATON ROUGE,BATON ROUGE
1165,COFFEE,COFFEE RD,BATON ROUGE,PARISH
1166,COLDWATER CREEK,COLDWATER CREEK CT,BATON ROUGE,BATON ROUGE
1167,COLD HARBOUR,COLD HARBOUR AVE,BATON ROUGE,PARISH
1168,COLE,COLE DR,BATON ROUGE,BATON ROUGE
1169,COLFAX,COLFAX DR,BAKER,PARISH
117,ALBA,ALBA DR,BAKER,BAKER
1170,COLISEUM,COLISEUM AVE,BATON ROUGE,PARISH
1171,COLISEUM,E COLISEUM AVE,BATON ROUGE,PARISH
1172,COLLEEN,COLLEEN CT,BATON ROUGE,BATON ROUGE
1173,COLLEGE,COLLEGE AVE,BAKER,BAKER
1174,COLLEGE,COLLEGE DR,BATON ROUGE,BATON ROUGE
1176,COLLEGE HILL,COLLEGE HILL DR,BATON ROUGE,BATON ROUGE
1177,COLLEGE HILL,N COLLEGE HILL DR,BATON ROUGE,BATON ROUGE
1178,COLLINS,COLLINS DR,BATON ROUGE,BATON ROUGE
118,ALBANY,ALBANY ST,BATON ROUGE,PARISH
1180,COLONEL ALLEN,COLONEL ALLEN CT,BATON ROUGE,BATON ROUGE
1181,COLONEL GIBSON,COLONEL GIBSON CIR,BATON ROUGE,BATON ROUGE
1182,COLONIAL,COLONIAL DR,BATON ROUGE,BATON ROUGE
1183,COLONY WAY,N COLONY WAY PL,BATON ROUGE,PARISH
1184,COLONY WAY,S COLONY WAY PL,BATON ROUGE,PARISH
1185,COLONY WAY,W COLONY WAY PL,BATON ROUGE,PARISH
1186,COLORADO,COLORADO ST,BATON ROUGE,BATON ROUGE
1187,COLUMBINE,COLUMBINE ST,BATON ROUGE,BATON ROUGE
1188,COLUMBINE,S COLUMBINE ST,BATON ROUGE,BATON ROUGE
1189,COLUMBINE,S COLUMBINE CT,BATON ROUGE,BATON ROUGE
119,ALBATROSS,ALBATROSS DR,BATON ROUGE,BATON ROUGE
1191,COLUMBUS DUNN,COLUMBUS DUNN DR,BATON ROUGE,BATON ROUGE
1193,COMAL,COMAL DR,BATON ROUGE,BATON ROUGE
1194,COMANCHE,COMANCHE AVE,GREENWELL SPRINGS,CENTRAL
1195,COMISH,COMISH DR,BATON ROUGE,BATON ROUGE
1196,COMITE ACRES,COMITE ACRES AVE,BAKER,PARISH
1197,COMITE,COMITE DR,BAKER,"BAKER,CENTRAL,PARISH"
1198,COMMERCE,COMMERCE AVE,BATON ROUGE,BATON ROUGE
1199,COMMERCIAL,COMMERCIAL AVE,BATON ROUGE,PARISH
12,12TH,S 12TH ST,BATON ROUGE,BATON ROUGE
120,ALBERT,ALBERT DR,BATON ROUGE,BATON ROUGE
1200,COMMISSION,COMMISSION AVE,BATON ROUGE,PARISH
16535,VENELLE,RUE VENELLE,BATON ROUGE,BATON ROUGE
16562,YELLOWWOOD,YELLOWWOOD AVE,BATON ROUGE,BATON ROUGE
16563,SWEET BIRCH,SWEET BIRCH DR,BATON ROUGE,BATON ROUGE
16564,VILLAGE PLAZA,VILLAGE PLAZA CT,BATON ROUGE,PARISH
16566,VILLAGE CHARMANT,VILLAGE CHARMANT DR,BATON ROUGE,PARISH
16567,VILLAGE MAISON,VILLAGE MAISON CT,BATON ROUGE,PARISH
16569,WALKER GRANT,WALKER GRANT AVE,BATON ROUGE,BATON ROUGE
16570,WIGGINS,WIGGINS DR,PRIDE,CENTRAL
16575,TIGER CROSSING,TIGER CROSSING DR,BATON ROUGE,PARISH
16630,VILLAGE MARKET,VILLAGE MARKET ST,BATON ROUGE,PARISH
16632,VISTA OAKS,VISTA OAKS CT,ZACHARY,ZACHARY
16635,WOODBINE,WOODBINE DR,BATON ROUGE,BATON ROUGE
16645,WETHERLY,WETHERLY DR,BATON ROUGE,PARISH
16651,WESTMORELAND OAKS,WESTMORELAND OAKS DR,BATON ROUGE,BATON ROUGE
16681,VERANDA VIEW,VERANDA VIEW AVE,BATON ROUGE,PARISH
16682,VERANDA SQUARE,VERANDA SQUARE AVE,BATON ROUGE,PARISH
16683,VERANDA PARK,VERANDA PARK LN,BATON ROUGE,PARISH
16684,VERANDA GREEN,VERANDA GREEN AVE,BATON ROUGE,PARISH
16685,VERANDA LAKES,VERANDA LAKES DR,BATON ROUGE,PARISH
16691,TURNING LEAF,TURNING LEAF DR,BATON ROUGE,PARISH
16693,SUMMER FEST,SUMMER FEST LN,BATON ROUGE,PARISH
16698,WATERLOO,WATERLOO DR,BATON ROUGE,PARISH
16705,VIEUX CARRE,W VIEUX CARRE CIR,CENTRAL,CENTRAL
16713,WHITE OAK PLAINS,WHITE OAK PLAINS LN,BAKER,CENTRAL
16719,TIGER TRACE,TIGER TRACE AVE,BATON ROUGE,PARISH
16722,VILLAS,VILLAS WAY,BATON ROUGE,PARISH
16725,T.J. JEMISON,N T.J. JEMISON BLVD,BATON ROUGE,BATON ROUGE
16726,T.J. JEMISON,S T.J. JEMISON BLVD,BATON ROUGE,BATON ROUGE
16731,THE GREENS,THE GREENS CT,BATON ROUGE,BATON ROUGE
16736,WATERCREST,WATERCREST LN,BATON ROUGE,PARISH
16772,TILTON,TILTON CT,BATON ROUGE,BATON ROUGE
16796,TALL WILLOW,TALL WILLOW AVE,BATON ROUGE,PARISH
16807,WHITE ROSE,WHITE ROSE DR,BATON ROUGE,PARISH
16818,THOMAS BOYD,THOMAS BOYD DR,BATON ROUGE,PARISH
16819,WOODLAND COVE,WOODLAND COVE DR,BATON ROUGE,PARISH
16825,VILLAGE CENTER,VILLAGE CENTER DR,BATON ROUGE,BATON ROUGE
16831,VIDALIA,VIDALIA LN,BATON ROUGE,BATON ROUGE
16832,TRENA,TRENA LN,BATON ROUGE,BATON ROUGE
16844,STONELAKE VILLAGE,STONELAKE VILLAGE AVE,BATON ROUGE,PARISH
1200001,PRIVATE DRIVEWAY,PRIVATE DRIVEWAY,BAKER,PARISH
16846,STONELAKE,STONELAKE AVE,BATON ROUGE,PARISH
16851,STUDIO,STUDIO DR,BATON ROUGE,PARISH
16853,WATERVIEW,WATERVIEW DR,BATON ROUGE,PARISH
16854,VALHALLA,VALHALLA BLVD,BATON ROUGE,PARISH
16871,WAREHOUSE,WAREHOUSE LN,BATON ROUGE,BATON ROUGE
16873,VET,VET LN,BATON ROUGE,BATON ROUGE
16874,VET SCHOOL,VET SCHOOL LN,BATON ROUGE,BATON ROUGE
16876,TIGER PARK,TIGER PARK LN,BATON ROUGE,BATON ROUGE
16879,TOUCHDOWN VILLAGE,TOUCHDOWN VILLAGE LN,BATON ROUGE,BATON ROUGE
16887,WATER,WATER ST,BATON ROUGE,BATON ROUGE
16888,V.J. BELLA,V.J. BELLA DR,BATON ROUGE,BATON ROUGE
16893,WEATHER STATION,WEATHER STATION RD,BATON ROUGE,BATON ROUGE
16900,SWINE,SWINE LN,BATON ROUGE,BATON ROUGE
16904,TECHNOLOGY,TECHNOLOGY WAY,BATON ROUGE,PARISH
16905,WRIGLEY,WRIGLEY WAY,BATON ROUGE,PARISH
16911,TUNNEL,TUNNEL RD,BATON ROUGE,"BATON ROUGE,PARISH"
16929,THOMAS BOYD LOT,THOMAS BOYD LOT,BATON ROUGE,BATON ROUGE
16930,TOUCHDOWN VILLAGE LOT,TOUCHDOWN VILLAGE LOT,BATON ROUGE,BATON ROUGE
16933,TROTTOIR,TROTTOIR ST,BATON ROUGE,BATON ROUGE
16935,VERTE,VERTE DR,BATON ROUGE,BATON ROUGE
16940,VIRAGE,VIRAGE CT,CENTRAL,CENTRAL
16942,WINDRIDGE,WINDRIDGE AVE,ZACHARY,ZACHARY
16946,WOOD PARK,WOOD PARK AVE,ZACHARY,ZACHARY
16947,WOOD WREN,WOOD WREN DR,BATON ROUGE,PARISH
16948,WHITE HERON,WHITE HERON CT,BATON ROUGE,PARISH
16950,VINTAGE ROSE,VINTAGE ROSE CT,BATON ROUGE,PARISH
16951,VINTAGE JADE,VINTAGE JADE CT,BATON ROUGE,PARISH
16953,ZEE ZEE,ZEE ZEE LN,BATON ROUGE,BATON ROUGE
16954,WADDILL,WADDILL LN,BATON ROUGE,PARISH
