"Part","Type","Type","Brand","牌子","Model","Other Information","其他資料","Place of Manufacture","製造地點","Applicant","申請人","Telephone Number","Approval Expiry Date"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Miele","","CS1018G","STAINLESS STEEL TOP PANEL","不銹鋼面版","Germany","德國","Miele (Hong Kong) Limited","Miele (Hong Kong) Limited","2610 1331","2023-02-07"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Pacific","","PGS-110","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Dong Woo Industrial Co. Ltd.","東宇實業有限公司","2604 9777","2022-11-21"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Siemens","西門子","ER3A6AD70L","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Spain","西班牙","BSH Home Appliances Ltd.","博西華家用電器有限公司","2565 6161","2023-09-16"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Taada","多田牌","GA131GT","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","The Union Gas Appliances (Holdings) Ltd.","聯邦爐具（集團）有限公司","2811 8891","2026-01-02"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Whampo","皇寶","BI-1100","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whampo Trading Limited","皇寶貿易有限公司","3565 6391","2024-09-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Whirlpool","惠而浦","AWK131/BTP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2026-02-01"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Austbo","歐之寶","AT-1500GP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunny Eternal Limited","永暉有限公司","2380 8276","2026-08-04"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Austbo","歐之寶","AT-2000GP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunny Eternal Limited","永暉有限公司","2380 8276","2026-08-04"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Austbo","歐之寶","AT-2000SB(GP)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunny Eternal Limited","永暉有限公司","2380 8276","2023-04-20"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Austbo","歐之寶","AT-1500S(GP)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunny Eternal Limited","永暉有限公司","2380 8276","2023-04-20"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cimatech","","CG74D2-LPG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Toptech Co. Limited","高端有限公司","2828 4426","2027-01-12"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","De Dietrich","","DTG1410X","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","France","法國","Gilman Group Limited","太平洋行國際有限公司","2418 3272","2024-05-02"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","electriQ","","QLPG-333","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","D & A Electronics Co., Ltd.","恒匯電業有限公司","23771211","2026-06-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Electrolux","伊萊克斯","EGC-2902","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","The People's Republic of China","中華人民共和國","Dah Chong Hong, Ltd.","大昌貿易行有限公司","2262 1690","2024-06-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","FUJIOH","富士皇","FH-GS6320 SVGL","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Fidelity (Far East) Trading Co., Ltd.","富達(遠東)貿易有限公司","35896623","2026-10-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gaggenau","","VG232120F","STAINLESS STEEL TOP PANEL","不銹鋼面版","France","法國","Kitchen Infinity Corp. Ltd.","Kitchen Infinity Corp. Ltd.","2552 2208","2024-04-01"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gaggenau","","VG232114F","STAINLESS STEEL TOP PANEL","不銹鋼面版","France","法國","Kitchen Infinity Corp. Ltd.","Kitchen Infinity Corp. Ltd.","2552 2208","2022-07-19"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Garwoods","樂思","GC-268","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Araytron Technology Limited","千中科技有限公司","2397 3066","2024-12-22"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP12-2-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2025-02-15"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP12-2M-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2025-02-15"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP13-2-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2026-09-05"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP13-2M-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2026-09-05"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GA-960","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2026-05-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GA-9688","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2026-09-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GZ-2398","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2026-01-17"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GZ-2388","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2024-07-03"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","","GA-9288(LPG)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2022-12-04"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2628SN","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2024-05-30"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-238SN","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2024-05-30"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2266LP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2027-06-20"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2300LP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2027-06-20"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","KitchenAid","KitchenAid","KHDD230510/P","GLASS TOP PANEL","玻璃面版","Italy","意大利","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2026-02-04"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Küzzo","德信","KF-338T","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Charm Vantage Limited","倡利有限公司","3580 7378","2025-06-02"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Küzzo","德信","KF-326","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Charm Vantage Limited","倡利有限公司","3580 7378","2025-06-02"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Lighting","星暉","LG-248","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Lighting Gas Stoves Trading Ltd","星暉爐具貿易有限公司","2490 0073","2025-08-13"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Lighting","星暉","LG-238","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Lighting Gas Stoves Trading Ltd","星暉爐具貿易有限公司","2490 0073","2025-08-13"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Lighting","星暉","LG-218","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Lighting Gas Stoves Trading Ltd","星暉爐具貿易有限公司","2490 0073","2023-11-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Lighting Japan","","LJ-L8338","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Lighting (Japan) Trading Ltd.","星暉（日本）貿易有限公司","2490 0073","2023-02-07"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Megapool","美格浦","M28L","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Homepro International Limited","家博國際有限公司","2151 0823","2023-06-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Meo","美奧","MWZB621-G-L","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","The Hong Kong & China Gas Co., Ltd.","香港中華煤氣有限公司","2963 2216","2025-05-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Miele","","CS1013-1","STAINLESS STEEL TOP PANEL","不銹鋼面版","Germany","德國","Miele (Hong Kong) Limited","Miele (Hong Kong) Limited","2610 1331","2026-10-20"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Misoko","名家","MS-706","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Dong Woo Industrial Co. Ltd.","東宇實業有限公司","2604 9777","2026-04-27"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Pacific","","PGS-202","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Dong Woo Industrial Co. Ltd.","東宇實業有限公司","2604 9777","2022-11-21"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Philco","飛歌","PH8275B-LP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Gilman Group Limited","太平洋行國際有限公司","2418 3272","2025-06-10"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Rasonic","樂信","RG-233GB","GLASS TOP PANEL","玻璃面版","Malaysia","馬來西亞","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2022-11-27"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Rasonic","樂信","RG-233GS","GLASS TOP PANEL","玻璃面版","Malaysia","馬來西亞","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2023-06-13"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Rasonic","樂信","RG-233GW","GLASS TOP PANEL","玻璃面版","Malaysia","馬來西亞","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2023-06-13"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Rinnai","林內","RRDB62S","","","Indonesia","印度利西亞","The Hong Kong & China Gas Co., Ltd.","香港中華煤氣有限公司","2963 2216","2027-07-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Rinnai","林內","RRTB62S-G-LP","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","The Hong Kong & China Gas Co., Ltd.","香港中華煤氣有限公司","2963 2216","2026-04-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Sakura","櫻花","G2522W","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","Wealthy Link International Trading Limited","富進國際貿易有限公司","2811 2600","2023-03-05"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Sakura","櫻花","G2522B","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","Wealthy Link International Trading Limited","富進國際貿易有限公司","2811 2600","2022-11-16"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Sakura","櫻花","G2923B","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","Wealthy Link International Trading Limited","富進國際貿易有限公司","2811 2600","2025-09-08"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Siemens","西門子","ER3A6BD70L","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Spain","西班牙","BSH Home Appliances Ltd.","博西華家用電器有限公司","2565 6161","2023-09-16"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Taada","多田牌","GA751-14B","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","The Union Gas Appliances (Holdings) Ltd.","聯邦爐具（集團）有限公司","2811 8891","2025-09-21"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Taada","多田牌","GA761-14B","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","The Union Gas Appliances (Holdings) Ltd.","聯邦爐具（集團）有限公司","2811 8891","2025-12-21"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","TGC","","MEGA2L","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Japan","日本","The Hong Kong & China Gas Co., Ltd.","香港中華煤氣有限公司","2963 2216","2026-09-13"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Whampo","皇寶","BI-760G","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whampo Trading Limited","皇寶貿易有限公司","3565 6391","2024-09-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Whampo","皇寶","B-730G","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whampo Trading Limited","皇寶貿易有限公司","3565 6391","2024-09-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Whampo","皇寶","BI-780G","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whampo Trading Limited","皇寶貿易有限公司","3565 6391","2026-05-31"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Whirlpool","惠而浦","AGA201/BP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2027-04-06"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Whirlpool","惠而浦","AWK235/BP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2025-02-09"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Whirlpool","惠而浦","AWK231/BTP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2026-02-01"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","FUJIOH","富士皇","FH-GS6330 SVGL","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Fidelity (Far East) Trading Co., Ltd.","富達(遠東)貿易有限公司","35896623","2026-10-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","GERMAN POOL","德國寶","GP13-3-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2026-09-05"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","GERMAN POOL","德國寶","GP12-3-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2025-02-15"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Hibachi","氣霸","HY-3363LP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2027-06-20"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Lighting","星暉","LGC03CNL","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Lighting Gas Stoves Trading Ltd","星暉爐具貿易有限公司","2490 0073","2025-12-03"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Miele","","KM3014","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Germany","德國","Miele (Hong Kong) Limited","Miele (Hong Kong) Limited","2610 1331","2023-05-07"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Philco","飛歌","PH8386B-LP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Gilman Group Limited","太平洋行國際有限公司","2418 3272","2025-06-10"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Rasonic","樂信","RG-323AGB","GLASS TOP PANEL","玻璃面版","Malaysia","馬來西亞","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2024-06-27"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Rasonic","樂信","RG-323AGW","GLASS TOP PANEL","玻璃面版","Malaysia","馬來西亞","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2024-06-27"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Rinnai","林內","RRTB83S-G-LP","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","The Hong Kong & China Gas Co., Ltd.","香港中華煤氣有限公司","2963 2216","2026-04-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Taada","多田牌","GA371-14B","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","The Union Gas Appliances (Holdings) Ltd.","聯邦爐具（集團）有限公司","2811 8891","2025-11-19"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Whirlpool","惠而浦","AWK335/BP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2025-02-09"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 3 Burners","嵌入式三頭平面爐","Whirlpool","惠而浦","AGA301/BP","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2027-04-06"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","Austbo","歐之寶","AT-S268","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Sunny Eternal Limited","永暉有限公司","2380 8276","2027-06-28"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","Austbo","歐之寶","AT-S168","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Sunny Eternal Limited","永暉有限公司","2380 8276","2023-05-13"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","Cambo","金寶","N-108","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Wetol Company Limited","偉圖貿易發展有限公司","2569 6035","2024-05-15"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","Cambo","金寶","N-128","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Wetol Company Limited","偉圖貿易發展有限公司","2569 6035","2024-05-15"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","CGS","","CB991","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Crown Gas Stoves (Holdings) Company Limited","皇冠爐具（集團）有限公司","2382 8431","2025-02-17"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","CGS","","CC-291B","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Crown Gas Stoves (Holdings) Company Limited","皇冠爐具（集團）有限公司","2382 8431","2024-12-02"
"Part 1 – Approved Domestic Gas Cooking Appliances","Cassette Cooker","卡式爐 (即棄式石油氣罐)","EZ Cook","","ZJ-6-FFD","NOT APPLICABLE","不適用","The People's Republic of China","中華人民共和國","Iwatani Corporation (Hong Kong) Limited","香港岩谷有限公司","2265 0161","2022-11-23"
