SCHEDULE NUMBER,NEGOTIATION NUMBER,BLANK1,COMPANY IDENTIFYING INFORMATION ,SIC Code,BLANK2,SIC Code,SIC Code,BLANK3,TYPE OF BARGAINING UNIT,BLANK4,REGIONAL OR STATE,BLANK5,LOCATION,BLANK6,UNION,BLANK7,UNION CODE,BLANK8,NUMBER OF EMPLOYEES,BLANK9,NEGOTIATION DATE,BLANK10,AGREEMENT EFFECTIVE DATE,BLANK11,NEW EXPIRATION DATE,BLANK12,REOPENING DATE,BLANK13,ESCALATOR OVERALL CONTROL,INDEX CODE,BLANK14,TYPE OF ESCALATOR CLAUSE,MINIMUM AND/OR MAXIMUM CODE,BLANK15,CPI BASE YEAR,BLANK16,CPI FORMULA,BLANK17,DATE OF FIRST COST-OF-LIVING REVIEW,BLANK18,DATE OF LAST COST-OF-LIVING REVIEW,BLANK19,WORK STOPPAGE BEGINNING DATE,BLANK20,WORK STOPPAGE ENDING DATE
79006,53,,LEAGUE OF NEW YORK THEATRES,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,2000,,7/1/77,,7/1/77,,6/30/80,,,,,,,,,,,,,,,,,,,,
79006,54,,LEAGUE OF NEW YORK THEATRES & PRODUCERS K 7924,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,2000,,7/13/80,,6/29/80,,6/25/83,,,,"ESCALATOR CLAUSE REESTABLISHED, CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,ANNUAL IN JUNE,NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,6/29/82,,6/29/82,,,,
79006,55,,LEAGUE OF NY THEATRES & PRODUCERS       K7924,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,1300,,7/15/83,,6/27/83,,6/23/86,,,,CHANGE IN COLA CLAUSE NO EFFECT ON WAGE ADJUSTMENT,"NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,ANNUAL IN JUNE,MAXIMUM BUT NO MINIMUM,,1967 = 100,,AT&T OR OTHER FORMULAS,,6/25/84,,6/24/85,,,,
79006,56,,LEAGUE OF NY THEATRES & PRODUCERS    K7924,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,1650,,10/15/86,,6/30/86,,6/29/89,,,,CHANGE IN COLA CLAUSE INCREASING WAGE ADJUSTMENT,"NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,ANNUAL IN JUNE,MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 PERCENT FOR EACH 1 PERCENT CHANGE,,6/30/87,,6/30/88,,,,
79006,57,,LEAGUE OF NY THEATRES & PRODUCERS   K 7924,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,1700,,12/6/89,,7/1/89,,6/30/92,,,,,,,,,,,,,,,,,,,,
79006,58,,LEAGUE OF NY THEATRES & PRODUCERS,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,1700,,11/20/92,,7/1/92,,6/30/96,,,,,,,,,,,,,,,,,,,,
20006,51,,"KEEBLER BISCUIT CO -PA,GA,OHIO,SD,COLO",,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3500,,10/31/72,,11/1/72,,10/31/74,,,,,,,,,,,,,,,,,,,,
20006,52,,"KEEBLER BISCUIT CO -PA,GA,OHIO,SD,COLO",,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,4500,,11/3/74,,11/1/74,,10/30/76,,,,,,,,,,,,,,,,,,,,
20006,53,,KEEBLER COMPANY,,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3700,,10/31/76,,11/1/76,,10/31/78,,,,,,,,,,,,,,,,,,,,
20006,54,,KEEBLER COMPANY,,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,4000,,10/31/78,,11/1/78,,10/31/80,,,,,,,,,,,,,,,,,,,,
20014,51,,NABISCO INC,,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,10000,,9/1/73,,9/1/73,,8/31/75,,,,,,,,,,,,,,,,,,,,
20014,52,,"NABISCO, INC",,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,10000,,9/7/75,,9/1/75,,8/31/77,,,,,,,,,,,,,,,,,,,,
20014,53,,"NABISCO,INC",,,Food And Kindred Products,52,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,11000,,8/25/77,,9/1/77,,8/31/79,,,,,,,,,,,,,,,,,,,,
20029,51,,HERSHEY FOODS CORP,,,Food And Kindred Products,72,,"SINGLE PLANT, ONE COMPANY",,NEW JERSEY,,"PA,HERSHEY",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3300,,1/1/72,,1/1/72,,12/31/73,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,3/1/73,,12/1/73,,,,
20029,52,,HERSHEY FOODS CORP,,,Food And Kindred Products,72,,"SINGLE PLANT, ONE COMPANY",,PENNSYLVANIA,,"PA,HERSHEY",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3300,,5/1/74,,1/1/74,,12/31/75,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,3/7/75,,12/8/75,,,,
20029,53,,HERSHEY FOODS CORP,,,Food And Kindred Products,72,,"SINGLE PLANT, ONE COMPANY",,PENNSYLVANIA,,"PA,HERSHEY",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3000,,3/28/76,,1/1/76,,12/31/77,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,3/1/77,,12/1/77,,,,
20029,54,,HERSHEY FOODS CORP,,,Food And Kindred Products,66,,"SINGLE PLANT, ONE COMPANY",,PENNSYLVANIA,,"PA,HERSHEY",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,2300,,4/2/78,,3/27/78,,10/31/80,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,4/1/79,,10/1/80,,,,
20041,51,,"WHOLESALE BREAD SHOPS, CAKE BAKERIES,& RETAIL",,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,6000,,2/1/71,,2/1/71,,1/31/74,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS","NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,MONTH OF REVIEW DEPENDENT UPON LEVEL OF CPI,NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,3/1/72,,1/1/74,,,,
20041,52,,"WHOLESALE BREAD SHOPS,CAKE BAKERIES,RETAIL BAKE",,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,6000,,2/1/74,,2/1/74,,2/5/75,,,,,,,,,,,,,,,,,,,,
20041,53,,"WHOLESALE BREAD SHOPS,CAKE,RETAIL",,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,6000,,2/1/75,,2/1/75,,1/31/78,,,,"CLAUSE CONTINUED BUT CHANGED, CODE ALL SUBFIELDS","NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,MONTH OF REVIEW DEPENDENT UPON LEVEL OF CPI,MAXIMUM BUT NO MINIMUM,,1967 = 100,,AT&T OR OTHER FORMULAS,,3/1/75,,12/1/77,,,,
20041,54,,"WHOLESALE BREAD,WHOLESALE CAKE,RETAIL BAKERIES",,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3500,,2/1/78,,2/1/78,,1/31/81,,,,"CLAUSE CONTINUED BUT CHANGED, CODE ALL SUBFIELDS","NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,EVERY MONTH,MAXIMUM BUT NO MINIMUM,,Unknown or Other,,AT&T OR OTHER FORMULAS,,2/1/79,,2/1/80,,,,
20122,51,,WHOLESALE BAKERS GROUP,,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,CALIFORNIA,,"CA,LA",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,2000,,5/19/72,,5/1/72,,4/30/75,,,,,,,,,,,,,,,,,,5/17/72,,5/19/72
20122,52,,WHOLESALE BAKERS GROUP,,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,CALIFORNIA,,"CA,LA",,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,3500,,5/10/75,,5/4/75,,5/2/77,,,,,,,,,,,,,,,,,,,,
20122,53,,WHOLESALE BREAD & CAKE BAKERIES  WEST COAST,,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,PACIFIC REGION,,PACIFIC,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,5500,,5/11/77,,5/1/77,,4/30/79,,,,,,,,,,,,,,,,,,,,
20122,54,,WHOLESALE BREAD & CAKE BAKERIES-WEST COAST,50,,Food And Kindred Products,51,,MORE THAN ONE COMPANY,,PACIFIC REGION,,PACIFIC,,"BAKERY, CONFECTIONERY WORKERS INTERNATIONAL UNION OF AMERICA",,"BAKERY, CONFECTIONERY AND TOBACCO WORKERS",,5500,,5/18/79,,5/6/79,,5/5/81,,,,,,,,,,,,,,,,,,,,
45001,51,,NORTHWEST AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1600,,10/28/73,,7/1/71,,7/1/74,,,,,,,,,,,,,,,,,,6/29/72,,10/2/72
45001,52,,NORTHWEST AIRLINES INC  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1500,,8/8/75,,7/1/74,,6/30/77,,,,,,,,,,,,,,,,,,,,
45001,53,,NORTHWEST AIRLINES INC  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1500,,8/15/78,,7/1/77,,6/30/80,,,,,,,,,,,,,,,,,,5/1/78,,8/15/78
45001,54,,NORTHWEST AIRLINES INC PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1550,,7/3/80,,7/1/80,,6/30/83,,,,,,,,,,,,,,,,,,,,
45001,55,,NORTHWEST AIRLINES PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1600,,8/1/83,,7/1/83,,6/30/86,,,,,,,,,,,,,,,,,,,,
45001,56,,NORTHWEST AIRLINES (PILOTS),50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,5100,,8/28/89,,9/1/89,,3/1/94,,,,,,,,,,,,,,,,,,,,
45001,57,,NORTHWEST AIRLINES-PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,4850,,7/6/93,,8/1/93,,8/1/96,,,,,,,,,,,,,,,,,,,,
45004,51,,NORTHWEST AIRLINES  FLIGHT ATTENDENTS,,,Transportation By Air,11,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1700,,12/14/72,,1/1/73,,12/31/73,,,,,,,,,,,,,,,,,,,,
45005,51,,DELTA AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,1500,,5/1/72,,5/2/72,,1/31/74,,,,,,,,,,,,,,,,,,,,
45005,52,,DELTA AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3050,,6/5/74,,2/1/74,,7/31/76,,,,,,,,,,,,,,,,,,,,
45005,54,,DELTA AIRLINES INC                       K-,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3000,,4/2/79,,1/31/79,,7/31/81,,,,,,,,,,,,,,,,,,,,
45005,55,,DELTA PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,4000,,2/9/82,,8/1/81,,2/29/84,,,,,,,,,,,,,,,,,,,,
45005,56,,DELTA PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,4000,,7/22/83,,7/22/83,,8/31/85,,,,,,,,,,,,,,,,,,,,
45005,57,,"DELTA AIR LINES, INC. PILOTS",50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,4200,,8/26/86,,10/1/86,,3/1/89,,,,,,,,,,,,,,,,,,,,
45005,58,,DELTA AIR LINES (PILOTS),50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,7500,,9/25/90,,3/2/89,,9/1/93,,,,,,,,,,,,,,,,,,,,
45005,59,,DELTA AIRLINES (PILOTS),50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,8300,,8/23/91,,8/23/91,,1/1/95,,,,,,,,,,,,,,,,,,,,
45026,51,,TRANS WORLD AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3600,,10/1/72,,7/1/72,,3/1/74,,,,,,,,,,,,,,,,,,,,
45026,52,,TRANS WORLD AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3850,,8/2/74,,3/2/74,,12/31/75,,,,,,,,,,,,,,,,,,,,
45026,53,,TRANS WORLD AIRLINES INC  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3500,,10/10/75,,1/1/76,,9/30/77,,,,,,,,,,,,,,,,,,,,
45026,54,,TRANS WORLD AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3500,,6/15/77,,10/1/77,,7/31/79,,,,,,,,,,,,,,,,,,,,
45026,55,,TRANS WORLD AIRLINES,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3900,,7/25/79,,8/1/79,,9/30/81,,,,,,,,,,,,,,,,,,,,
45026,56,,TWA PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3100,,2/7/82,,10/1/81,,12/31/83,,,,,,,,,,,,,,,,,,,,
45026,57,,TWA PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,2700,,11/30/83,,11/1/83,,6/30/85,,,,,,,,,,,,,,,,,,,,
45026,58,,TWA-PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3100,,1/3/86,,1/3/86,,1/2/89,,,,,,,,,,,,,,,,,,,,
45026,59,,TWA-PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,3000,,12/5/86,,1/3/87,,1/3/92,,,,,,,,,,,,,,,,,,,,
45026,60,,TWA-PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,2758,,12/30/92,,9/1/92,,9/1/95,,,,,,,,,,,,,,,,,,,,
45026,61,,TWA-PILOTS,50,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,2512,,9/23/94,,10/1/94,,8/31/97,,,,,,,,,,,,,,,,,,,,
45029,51,,UNITED AIRLINES  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,6000,,12/1/72,,6/1/72,,6/1/74,,,,,,,,,,,,,,,,,,,,
45029,52,,UNITED AIRLINES PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,5400,,1/17/75,,5/1/74,,12/31/76,,,,,,,,,,,,,,,,,,,,
45029,53,,UNITED AIRLINES INC  PILOTS,,,Transportation By Air,11,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AIR LINE PILOTS,,AIR LINE PILOTS,,7000,,11/15/76,,2/15/77,,2/1/79,,,,,,,,,,,,,,,,,,,,
